Number	Associated	TaxRank	MinScore	NextMaxScore
6813	Pestivirus	Genus	56:09:00	45:00:00
30190	Phikmvvirus	Genus	1067:06:00	961:02:00
17787	Chunghsingvirus	Genus	154:08:00	131:01:00
9203	Bocaparvovirus	Genus	32:01:00	
20408	Marseillevirus	Genus	165:02:00	145:06:00
19367	Pandoravirus	Genus	92:01:00	54:04:00
10461	Firehammervirus	Genus	295:06:00	85:00:00
17413	Mimivirus	Genus	48:00:00	45:08:00
20467	Marseillevirus	Genus	211:04:00	136:08:00
17410	Mimivirus	Genus	50:09:00	
7319	Mimivirus	Genus	76:00:00	68:02:00
11168	Kostyavirus	Genus	380:08:00	336:01:00
7940	Mimivirus	Genus	224:06:00	123:06:00
15363	Mimivirus	Genus	47:09:00	33:02:00
29103	Certrevirus	Genus	147:08:00	108:01:00
306	Orthohepevirus	Genus	194:01:00	
737	Pestivirus	Genus	35:01:00	
17283	Mimivirus	Genus	40:03:00	39:04:00
22720	Seuratvirus	Genus	492:05:00	358:06:00
11517	Pecentumvirus	Genus	248:06:00	135:00:00
5937	Phikzvirus	Genus	316:02:00	303:02:00
6901	Mimivirus	Genus	231:01:00	35:08:00
5011	Litunavirus	Genus	332:06:00	331:05:00
7281	Mimivirus	Genus	124:08:00	52:06:00
22074	Morbillivirus	Genus	51:02:00	
17505	Mimivirus	Genus	43:02:00	
5168	Bixzunavirus	Genus	696:09:00	349:08:00
28334	Agatevirus	Genus	268:03:00	250:01:00
739	Pestivirus	Genus	44:04:00	
22666	Lightbulbvirus	Genus	932:03:00	541:06:00
59	Cytomegalovirus	Genus	2164:01:00	2006:08:00
12209	Prasinovirus	Genus	205:03:00	43:07:00
1997	Phifelvirus	Genus	113:00:00	112:03:00
815	Simplexvirus	Genus	82:00:00	53:09:00
328	Lyssavirus	Genus	390:02:00	41:04:00
7496	Mimivirus	Genus	343:00:00	312:06:00
10278	Vhmlvirus	Genus	182:02:00	127:03:00
8080	Mimivirus	Genus	237:02:00	39:09:00
27396	Yuavirus	Genus	326:00:00	230:03:00
3751	Asfivirus	Genus	191:06:00	180:06:00
25577	Lomovskayavirus	Genus	100:07:00	91:07:00
2512	Mastadenovirus	Genus	37:03:00	
22732	Seuratvirus	Genus	204:01:00	185:01:00
13992	Omegavirus	Genus	247:05:00	239:03:00
866	Simplexvirus	Genus	44:05:00	44:04:00
27719	Oshimavirus	Genus	674:00:00	469:02:00
738	Pestivirus	Genus	224:00:00	
15240	Mimivirus	Genus	47:06:00	
17591	Mimivirus	Genus	47:06:00	38:05:00
14384	Omegavirus	Genus	89:07:00	71:00:00
561	Kostyavirus	Genus	153:03:00	142:07:00
10811	Pegunavirus	Genus	535:09:00	506:05:00
6989	Mimivirus	Genus	167:09:00	101:00:00
7080	Mimivirus	Genus	83:04:00	54:04:00
29304	Homburgvirus	Genus	343:00:00	307:08:00
15228	Mimivirus	Genus	42:03:00	
15959	Bongovirus	Genus	3350:04:00	2027:00:00
6134	Kayvirus	Genus	264:06:00	223:02:00
674	Potyvirus	Genus	95:08:00	
5514	Minunavirus	Genus	267:05:00	259:08:00
372	Tobamovirus	Genus	236:06:00	71:05:00
12324	Alphavirus	Genus	33:03:00	
6922	Mimivirus	Genus	161:00:00	65:01:00
19790	Sepunavirus	Genus	285:03:00	245:09:00
27669	Przondovirus	Genus	448:02:00	442:01:00
10728	Zetatorquevirus	Genus	115:04:00	96:03:00
19398	Pandoravirus	Genus	81:09:00	62:03:00
17588	Mimivirus	Genus	51:09:00	
13877	Dhillonvirus	Genus	96:05:00	94:05:00
9815	Respirovirus	Genus	86:05:00	
17811	Betaentomopoxvirus	Genus	83:03:00	79:06:00
25164	Chlorovirus	Genus	430:01:00	124:05:00
7796	Mimivirus	Genus	317:05:00	169:05:00
18566	Siminovitchvirus	Genus	294:02:00	274:00:00
3581	Rudivirus	Genus	419:06:00	412:04:00
24009	Emdodecavirus	Genus	318:04:00	81:06:00
20583	Marseillevirus	Genus	229:05:00	140:01:00
8469	Potyvirus	Genus	49:00:00	
617	Mastadenovirus	Genus	38:03:00	
17910	Ahduovirus	Genus	557:04:00	528:08:00
76	Cytomegalovirus	Genus	102:01:00	100:04:00
13779	Dhillonvirus	Genus	91:04:00	89:05:00
28629	Perisivirus	Genus	125:00:00	68:04:00
5564	Liefievirus	Genus	341:03:00	335:01:00
735	Pestivirus	Genus	60:08:00	
20145	Marseillevirus	Genus	729:09:00	197:06:00
9370	Orthopoxvirus	Genus	142:04:00	130:09:00
31117	Unaquatrovirus	Genus	810:06:00	397:03:00
12110	Cytomegalovirus	Genus	118:02:00	78:09:00
17328	Mimivirus	Genus	51:01:00	
4457	Krischvirus	Genus	163:03:00	147:03:00
1391	Rhadinovirus	Genus	117:07:00	81:03:00
23286	Slashvirus	Genus	128:05:00	65:01:00
3664	Ithacavirus	Genus	169:00:00	161:07:00
15480	Mimivirus	Genus	47:09:00	
20971	Corndogvirus	Genus	695:02:00	318:09:00
11253	Ampelovirus	Genus	41:08:00	
1378	Hypovirus	Genus	110:04:00	
21586	Pradovirus	Genus	220:08:00	159:05:00
1893	Hendrixvirus	Genus	215:04:00	206:06:00
18944	Pandoravirus	Genus	80:04:00	55:07:00
15165	Mimivirus	Genus	59:02:00	55:04:00
7497	Mimivirus	Genus	311:03:00	243:01:00
22483	Betaendornavirus	Genus	94:03:00	71:08:00
19680	Certrevirus	Genus	107:09:00	89:04:00
18554	Siminovitchvirus	Genus	144:02:00	134:06:00
17668	Mimivirus	Genus	47:09:00	35:09:00
23507	Rauchvirus	Genus	287:03:00	244:08:00
23619	Vequintavirus	Genus	1099:01:00	1016:03:00
17900	Nazgulvirus	Genus	102:05:00	92:07:00
296	Thetatorquevirus	Genus	75:08:00	73:06:00
12649	Obolenskvirus	Genus	409:01:00	251:00:00
24629	Xiamenvirus	Genus	218:07:00	209:05:00
9202	Bocaparvovirus	Genus	74:03:00	39:01:00
3823	Asfivirus	Genus	1095:03:00	117:04:00
742	Pestivirus	Genus	37:08:00	34:03:00
19271	Pandoravirus	Genus	221:06:00	74:08:00
9572	Orthohepevirus	Genus	37:04:00	37:02:00
740	Pestivirus	Genus	65:00:00	36:02:00
6380	Cytomegalovirus	Genus	102:07:00	46:03:00
24757	Avunavirus	Genus	212:01:00	211:09:00
8369	Ranavirus	Genus	84:03:00	43:09:00
10897	Bixzunavirus	Genus	144:03:00	124:00:00
1915	Detrevirus	Genus	125:08:00	122:07:00
29082	Homburgvirus	Genus	94:05:00	86:06:00
6430	Ebolavirus	Genus	494:07:00	154:01:00
6429	Ebolavirus	Genus	610:03:00	151:08:00
30850	Helsingorvirus	Genus	366:02:00	118:02:00
23431	Gordtnkvirus	Genus	157:00:00	73:04:00
9300	Samistivirus	Genus	382:00:00	375:05:00
10518	Fletchervirus	Genus	400:09:00	323:00:00
4558	Slopekvirus	Genus	221:06:00	194:06:00
4875	Helsingorvirus	Genus	121:04:00	94:07:00
18651	Abouovirus	Genus	722:03:00	693:05:00
13088	Schizotequatrovirus	Genus	280:00:00	127:04:00
26731	Prymnesiovirus	Genus	157:01:00	153:08:00
707	Avulavirus	Genus	54:08:00	32:03:00
28413	Lightbulbvirus	Genus	301:08:00	263:08:00
19284	Pandoravirus	Genus	206:02:00	113:07:00
17724	Mimivirus	Genus	778:02:00	164:03:00
15486	Mimivirus	Genus	52:08:00	33:01:00
25346	Chlorovirus	Genus	159:05:00	92:07:00
20385	Marseillevirus	Genus	191:07:00	186:07:00
17399	Mimivirus	Genus	69:02:00	
7109	Mimivirus	Genus	87:09:00	63:01:00
28787	Seunavirus	Genus	415:00:00	110:09:00
7720	Mimivirus	Genus	232:06:00	159:01:00
8540	Cytomegalovirus	Genus	132:04:00	45:06:00
27571	Svunavirus	Genus	351:06:00	333:05:00
14888	Mimivirus	Genus	157:00:00	62:07:00
18769	Betacoronavirus	Genus	171:00:00	
27947	Barnyardvirus	Genus	332:02:00	255:08:00
5905	Zindervirus	Genus	84:04:00	80:05:00
29292	Reptarenavirus	Genus	278:06:00	55:05:00
2985	Lentivirus	Genus	121:05:00	55:09:00
24476	Cronusvirus	Genus	1110:06:00	195:00:00
23346	Inhavirus	Genus	1005:03:00	749:08:00
25345	Chlorovirus	Genus	245:05:00	68:02:00
100	Cytomegalovirus	Genus	391:03:00	384:02:00
25575	Lomovskayavirus	Genus	244:02:00	194:02:00
17282	Mimivirus	Genus	227:09:00	184:05:00
1438	Rhadinovirus	Genus	248:07:00	65:01:00
10898	Bixzunavirus	Genus	265:02:00	115:00:00
8316	Mimivirus	Genus	124:04:00	122:05:00
23767	Bequatrovirus	Genus	161:06:00	141:06:00
21718	Yokohamavirus	Genus	143:09:00	134:01:00
23033	Kuravirus	Genus	287:08:00	95:09:00
5315	Emdodecavirus	Genus	219:09:00	204:06:00
7221	Mimivirus	Genus	594:05:00	278:07:00
28429	Gelderlandvirus	Genus	104:07:00	76:09:00
710	Morbillivirus	Genus	213:04:00	197:00:00
7656	Mimivirus	Genus	214:07:00	133:09:00
13220	Mimivirus	Genus	70:07:00	
20605	Betacoronavirus	Genus	39:03:00	
15182	Mimivirus	Genus	329:08:00	140:03:00
18292	Proboscivirus	Genus	165:07:00	59:09:00
7318	Mimivirus	Genus	155:00:00	92:08:00
25437	Hypovirus	Genus	598:03:00	45:09:00
11765	Aviadenovirus	Genus	124:00:00	79:04:00
924	Potyvirus	Genus	34:01:00	34:00:00
20606	Betacoronavirus	Genus	35:08:00	
4520	Agtrevirus	Genus	158:09:00	158:07:00
6945	Mimivirus	Genus	307:03:00	114:01:00
9552	Betacoronavirus	Genus	89:00:00	
7505	Mimivirus	Genus	96:02:00	81:03:00
9093	Andromedavirus	Genus	196:03:00	167:08:00
2033	Lentivirus	Genus	208:00:00	39:06:00
743	Pestivirus	Genus	54:07:00	47:07:00
25037	Chlorovirus	Genus	1163:07:00	231:08:00
6036	Orthopoxvirus	Genus	93:02:00	85:04:00
18800	Lightbulbvirus	Genus	299:00:00	215:04:00
7002	Mimivirus	Genus	111:07:00	63:05:00
966	Morbillivirus	Genus	107:09:00	
15217	Mimivirus	Genus	106:02:00	74:00:00
10800	Coopervirus	Genus	1376:07:00	1323:03:00
8470	Potyvirus	Genus	109:08:00	
5734	Inhavirus	Genus	205:00:00	87:07:00
12612	Obolenskvirus	Genus	101:05:00	45:02:00
923	Potyvirus	Genus	36:03:00	
30627	Bequatrovirus	Genus	219:07:00	203:05:00
11052	Cheoctovirus	Genus	345:05:00	338:04:00
28146	Lessievirus	Genus	395:04:00	369:04:00
15095	Mimivirus	Genus	137:02:00	76:03:00
17124	Yuavirus	Genus	128:04:00	101:08:00
13822	Tinduovirus	Genus	769:06:00	739:05:00
7075	Mimivirus	Genus	205:04:00	65:06:00
2045	Lentivirus	Genus	81:03:00	51:03:00
11352	Phifelvirus	Genus	153:04:00	139:04:00
20291	Klosneuvirus	Genus	406:06:00	406:01:00
10190	Orthotospovirus	Genus	299:04:00	
7104	Mimivirus	Genus	98:05:00	51:01:00
510	Potyvirus	Genus	212:08:00	34:02:00
27675	Alphanudivirus	Genus	394:09:00	257:04:00
18629	Okubovirus	Genus	423:01:00	423:00:00
6397	Cytomegalovirus	Genus	127:05:00	55:09:00
744	Pestivirus	Genus	111:06:00	
20591	Alphacoronavirus	Genus	32:09:00	
16460	Rubulavirus	Genus	34:01:00	
11752	Aviadenovirus	Genus	155:04:00	131:01:00
1029	Betaarterivirus	Genus	85:08:00	
2287	Whispovirus	Genus	229:00:00	174:05:00
10449	Firehammervirus	Genus	417:09:00	54:03:00
7503	Mimivirus	Genus	103:09:00	103:02:00
9485	Kostyavirus	Genus	203:07:00	160:00:00
6508	Alphacoronavirus	Genus	46:04:00	
23149	Svunavirus	Genus	160:00:00	159:05:00
27981	Cequinquevirus	Genus	348:08:00	150:02:00
29087	Cequinquevirus	Genus	105:00:00	91:03:00
6130	Twortvirus	Genus	179:02:00	175:01:00
7390	Mimivirus	Genus	309:00:00	276:01:00
1427	Rhadinovirus	Genus	234:07:00	48:06:00
11070	Bixzunavirus	Genus	368:02:00	271:08:00
741	Pestivirus	Genus	151:07:00	50:00:00
1620	Orthopoxvirus	Genus	1134:01:00	1082:03:00
19403	Pandoravirus	Genus	343:02:00	97:05:00
19618	Pandoravirus	Genus	842:03:00	93:02:00
22428	Samistivirus	Genus	196:03:00	184:03:00
19119	Pandoravirus	Genus	206:00:00	84:09:00
22352	Bernalvirus	Genus	774:03:00	742:08:00
2550	Orthopoxvirus	Genus	1188:06:00	1187:09:00
13542	Eneladusvirus	Genus	88:06:00	57:01:00
27452	Ilarvirus	Genus	38:05:00	
9676	Mardivirus	Genus	229:04:00	
4213	Cyprinivirus	Genus	270:02:00	
4345	Cyprinivirus	Genus	437:08:00	
4200	Cyprinivirus	Genus	117:09:00	
17756	Varicellovirus	Genus	132:07:00	
9401	Mardivirus	Genus	276:04:00	
22457	Parapoxvirus	Genus	140:08:00	
14804	Mardivirus	Genus	121:08:00	
19062	Pandoravirus	Genus	295:06:00	
4197	Cyprinivirus	Genus	171:01:00	
9418	Mardivirus	Genus	230:00:00	
4206	Cyprinivirus	Genus	878:06:00	
9387	Mardivirus	Genus	230:03:00	
9785	Alphabaculovirus	Genus	237:07:00	
4373	Cyprinivirus	Genus	134:04:00	
15652	Iltovirus	Genus	132:08:00	
4387	Cyprinivirus	Genus	322:01:00	
4362	Cyprinivirus	Genus	971:09:00	
9390	Mardivirus	Genus	194:03:00	
4327	Cyprinivirus	Genus	253:08:00	
9383	Mardivirus	Genus	200:03:00	
14780	Mardivirus	Genus	701:09:00	
9807	Alphabaculovirus	Genus	124:06:00	
16263	Alphabaculovirus	Genus	33:01:00	
22456	Parapoxvirus	Genus	115:03:00	
4338	Cyprinivirus	Genus	261:05:00	
20832	Gammacoronavirus	Genus	363:00:00	
4270	Cyprinivirus	Genus	186:08:00	
11449	Betabaculovirus	Genus	158:03:00	
14776	Mardivirus	Genus	140:02:00	
9788	Alphabaculovirus	Genus	118:00:00	
14781	Mardivirus	Genus	174:08:00	
15653	Iltovirus	Genus	102:09:00	
4349	Cyprinivirus	Genus	375:04:00	
9803	Alphabaculovirus	Genus	127:00:00	
9412	Mardivirus	Genus	124:04:00	
15654	Iltovirus	Genus	35:08:00	
9393	Mardivirus	Genus	212:00:00	
4224	Cyprinivirus	Genus	183:01:00	
22163	Betabaculovirus	Genus	180:04:00	
14800	Mardivirus	Genus	393:04:00	
1831	Mardivirus	Genus	262:01:00	
27236	Ipomovirus	Genus	129:07:00	61:02:00
15662	Iltovirus	Genus	157:06:00	31:08:00
15631	Iltovirus	Genus	82:03:00	
4269	Cyprinivirus	Genus	120:09:00	
9773	Alphabaculovirus	Genus	145:01:00	40:08:00
9397	Mardivirus	Genus	248:03:00	
4185	Cyprinivirus	Genus	216:06:00	
11432	Betabaculovirus	Genus	118:09:00	
22836	Muromegalovirus	Genus	160:07:00	
22838	Muromegalovirus	Genus	180:02:00	
9391	Mardivirus	Genus	181:05:00	
22826	Muromegalovirus	Genus	325:02:00	
4398	Cyprinivirus	Genus	303:06:00	
22842	Muromegalovirus	Genus	365:06:00	
17141	Alphabaculovirus	Genus	158:06:00	
11434	Betabaculovirus	Genus	377:06:00	
14794	Mardivirus	Genus	123:03:00	
4192	Cyprinivirus	Genus	116:02:00	
9341	Orthopoxvirus	Genus	37:01:00	
4388	Cyprinivirus	Genus	183:08:00	53:01:00
11441	Betabaculovirus	Genus	114:08:00	
22846	Muromegalovirus	Genus	125:03:00	
22195	Betabaculovirus	Genus	201:07:00	
22460	Parapoxvirus	Genus	213:09:00	
9808	Alphabaculovirus	Genus	150:00:00	
20645	Alphabaculovirus	Genus	141:08:00	
4389	Cyprinivirus	Genus	250:07:00	
13218	Mimivirus	Genus	137:04:00	
22844	Muromegalovirus	Genus	141:03:00	
9385	Mardivirus	Genus	223:01:00	
22849	Muromegalovirus	Genus	392:07:00	
9771	Alphabaculovirus	Genus	217:00:00	
12074	Alphabaculovirus	Genus	105:04:00	
9779	Alphabaculovirus	Genus	397:01:00	
22847	Muromegalovirus	Genus	134:02:00	
4368	Cyprinivirus	Genus	383:09:00	
6311	Asfivirus	Genus	103:04:00	
14808	Mardivirus	Genus	280:00:00	
22138	Betabaculovirus	Genus	92:08:00	
9416	Mardivirus	Genus	179:09:00	37:06:00
9424	Mardivirus	Genus	130:07:00	35:01:00
10777	Cytomegalovirus	Genus	33:09:00	
25056	Chlorovirus	Genus	181:07:00	
22843	Muromegalovirus	Genus	180:07:00	
22850	Muromegalovirus	Genus	479:00:00	
27107	Gammabaculovirus	Genus	327:09:00	
22833	Muromegalovirus	Genus	46:01:00	
23471	Gordtnkvirus	Genus	231:04:00	
14790	Mardivirus	Genus	109:04:00	49:09:00
26507	Alphabaculovirus	Genus	164:00:00	
18379	Proboscivirus	Genus	144:03:00	
23462	Gordtnkvirus	Genus	177:06:00	
18478	Siminovitchvirus	Genus	193:09:00	
2794	Whispovirus	Genus	285:06:00	
3952	Muromegalovirus	Genus	106:07:00	
2823	Whispovirus	Genus	169:04:00	
18583	Siminovitchvirus	Genus	356:05:00	
6063	Potexvirus	Genus	47:07:00	
10410	Firehammervirus	Genus	195:09:00	
15078	Bruynoghevirus	Genus	75:09:00	
18529	Siminovitchvirus	Genus	164:05:00	
11444	Betabaculovirus	Genus	137:06:00	
21800	Cepunavirus	Genus	138:04:00	
8971	Cytomegalovirus	Genus	191:02:00	
14788	Mardivirus	Genus	124:06:00	
6317	Teseptimavirus	Genus	115:02:00	
25298	Chlorovirus	Genus	148:03:00	
22867	Muromegalovirus	Genus	263:05:00	
27118	Gammabaculovirus	Genus	280:06:00	
1808	Mardivirus	Genus	44:07:00	
9770	Alphabaculovirus	Genus	125:07:00	
22818	Muromegalovirus	Genus	471:07:00	
27095	Gammabaculovirus	Genus	929:04:00	
30669	Betaentomopoxvirus	Genus	142:04:00	
29363	Homburgvirus	Genus	97:03:00	
18586	Siminovitchvirus	Genus	178:04:00	
18623	Siminovitchvirus	Genus	230:00:00	
9417	Mardivirus	Genus	186:00:00	
18487	Siminovitchvirus	Genus	159:03:00	
27444	Alphabaculovirus	Genus	695:00:00	
8967	Cytomegalovirus	Genus	151:06:00	
22137	Betabaculovirus	Genus	58:06:00	
2891	Whispovirus	Genus	174:09:00	
14810	Mardivirus	Genus	155:02:00	34:03:00
18484	Siminovitchvirus	Genus	236:09:00	
25931	Betaentomopoxvirus	Genus	152:00:00	
18536	Siminovitchvirus	Genus	338:03:00	
4287	Cyprinivirus	Genus	145:08:00	53:05:00
4961	Mimivirus	Genus	34:07:00	
11401	Betabaculovirus	Genus	194:08:00	
8933	Cytomegalovirus	Genus	1064:01:00	
18637	Siminovitchvirus	Genus	130:01:00	
18601	Siminovitchvirus	Genus	185:09:00	
9384	Mardivirus	Genus	107:00:00	32:05:00
20666	Alphabaculovirus	Genus	130:06:00	
22155	Betabaculovirus	Genus	147:06:00	32:09:00
18640	Siminovitchvirus	Genus	67:06:00	
23480	Gordtnkvirus	Genus	326:02:00	
15554	Mimivirus	Genus	93:08:00	
25358	Chlorovirus	Genus	188:04:00	
22868	Muromegalovirus	Genus	380:00:00	
1283	Mastadenovirus	Genus	63:06:00	
18549	Siminovitchvirus	Genus	158:02:00	
2817	Whispovirus	Genus	224:03:00	
18577	Siminovitchvirus	Genus	229:00:00	
18592	Siminovitchvirus	Genus	160:09:00	
22877	Muromegalovirus	Genus	198:02:00	
10108	Cytomegalovirus	Genus	144:00:00	
23455	Gordtnkvirus	Genus	232:00:00	
23435	Gordtnkvirus	Genus	202:00:00	
2742	Whispovirus	Genus	160:07:00	
15274	Mimivirus	Genus	97:04:00	32:04:00
2694	Whispovirus	Genus	161:06:00	
22853	Muromegalovirus	Genus	191:07:00	34:04:00
20828	Gammacoronavirus	Genus	375:00:00	
2890	Whispovirus	Genus	164:07:00	
14793	Mardivirus	Genus	354:00:00	
22966	Bruynoghevirus	Genus	125:08:00	
8761	Pecentumvirus	Genus	128:09:00	
14153	Omegavirus	Genus	72:06:00	
12058	Bruynoghevirus	Genus	199:05:00	
30891	Chloriridovirus	Genus	108:09:00	
28764	Chloriridovirus	Genus	126:02:00	
27094	Gammabaculovirus	Genus	191:01:00	
25210	Chlorovirus	Genus	99:01:00	
30528	Andromedavirus	Genus	135:08:00	
2884	Whispovirus	Genus	264:02:00	
1321	Rymovirus	Genus	55:08:00	
2636	Whispovirus	Genus	147:03:00	
14801	Mardivirus	Genus	180:04:00	34:06:00
22822	Muromegalovirus	Genus	306:02:00	
2745	Whispovirus	Genus	159:01:00	
2676	Whispovirus	Genus	216:06:00	
28850	Seunavirus	Genus	168:03:00	
9396	Mardivirus	Genus	94:07:00	49:06:00
18632	Siminovitchvirus	Genus	233:09:00	
22889	Muromegalovirus	Genus	134:00:00	
18713	Proboscivirus	Genus	137:03:00	
2641	Whispovirus	Genus	195:03:00	
11424	Betabaculovirus	Genus	115:00:00	
18631	Siminovitchvirus	Genus	119:03:00	
22816	Muromegalovirus	Genus	2829:03:00	
29089	Dyorhopapillomavirus	Genus	209:03:00	207:03:00
10413	Firehammervirus	Genus	529:02:00	
22815	Muromegalovirus	Genus	231:03:00	
25238	Chlorovirus	Genus	224:07:00	
22187	Betabaculovirus	Genus	269:01:00	
1309	Pegivirus	Genus	47:02:00	
9419	Mardivirus	Genus	219:01:00	36:00:00
9772	Alphabaculovirus	Genus	51:05:00	
30667	Betaentomopoxvirus	Genus	170:08:00	
2669	Whispovirus	Genus	194:09:00	
27108	Gammabaculovirus	Genus	195:07:00	
18514	Siminovitchvirus	Genus	134:00:00	
22964	Huchismacovirus	Genus	126:00:00	
27110	Gammabaculovirus	Genus	98:03:00	
26585	Krischvirus	Genus	102:03:00	
11466	Betabaculovirus	Genus	110:02:00	
22892	Muromegalovirus	Genus	311:05:00	
11438	Betabaculovirus	Genus	152:09:00	
30715	Ithacavirus	Genus	66:06:00	
22890	Muromegalovirus	Genus	182:04:00	
25176	Chlorovirus	Genus	80:09:00	
1813	Mardivirus	Genus	139:06:00	
23099	Kuravirus	Genus	205:08:00	
22891	Muromegalovirus	Genus	128:09:00	
2758	Whispovirus	Genus	218:06:00	
17184	Alphabaculovirus	Genus	131:02:00	
22839	Muromegalovirus	Genus	111:04:00	
20827	Gammacoronavirus	Genus	43:01:00	
22145	Betabaculovirus	Genus	110:06:00	
5461	Brussowvirus	Genus	40:05:00	38:01:00
22823	Muromegalovirus	Genus	107:01:00	
27115	Gammabaculovirus	Genus	344:09:00	
11462	Betabaculovirus	Genus	82:02:00	
22835	Muromegalovirus	Genus	495:03:00	34:07:00
10455	Firehammervirus	Genus	68:09:00	
27121	Gammabaculovirus	Genus	553:03:00	
27795	Betalipothrixvirus	Genus	283:02:00	
14789	Mardivirus	Genus	194:01:00	
8966	Cytomegalovirus	Genus	272:04:00	
2851	Whispovirus	Genus	160:04:00	
12984	Schizotequatrovirus	Genus	151:08:00	
14787	Mardivirus	Genus	135:06:00	41:02:00
2638	Whispovirus	Genus	213:02:00	
25357	Chlorovirus	Genus	153:08:00	
13072	Schizotequatrovirus	Genus	676:03:00	
2132	Whispovirus	Genus	186:00:00	
2151	Whispovirus	Genus	214:08:00	
21791	Cepunavirus	Genus	531:04:00	
2818	Whispovirus	Genus	101:04:00	
11410	Betabaculovirus	Genus	128:01:00	
23474	Gordtnkvirus	Genus	249:08:00	
20649	Alphabaculovirus	Genus	128:06:00	
1809	Mardivirus	Genus	363:02:00	
18496	Siminovitchvirus	Genus	203:07:00	
8937	Cytomegalovirus	Genus	140:07:00	
22156	Betabaculovirus	Genus	111:00:00	
18476	Siminovitchvirus	Genus	211:03:00	
2901	Whispovirus	Genus	163:03:00	
15608	Iltovirus	Genus	115:01:00	
28739	Chloriridovirus	Genus	125:00:00	
2625	Whispovirus	Genus	201:06:00	
16462	Alphacoronavirus	Genus	161:00:00	
25280	Chlorovirus	Genus	146:08:00	
22173	Betabaculovirus	Genus	233:04:00	
21806	Cepunavirus	Genus	134:08:00	
2873	Whispovirus	Genus	241:08:00	
18417	Rogunavirus	Genus	83:08:00	
22883	Muromegalovirus	Genus	184:01:00	
16763	Tulanevirus	Genus	42:07:00	
25209	Chlorovirus	Genus	242:01:00	
27089	Gammabaculovirus	Genus	535:02:00	
10126	Cytomegalovirus	Genus	204:06:00	
13216	Mimivirus	Genus	128:06:00	
25354	Chlorovirus	Genus	127:00:00	
22819	Muromegalovirus	Genus	341:01:00	
4343	Cyprinivirus	Genus	280:03:00	
21807	Cepunavirus	Genus	177:08:00	
28143	Lessievirus	Genus	155:04:00	
18488	Siminovitchvirus	Genus	152:00:00	
9809	Alphabaculovirus	Genus	164:06:00	
2736	Whispovirus	Genus	162:02:00	
22859	Muromegalovirus	Genus	1373:03:00	
19526	Pandoravirus	Genus	286:09:00	
22683	Fromanvirus	Genus	313:09:00	
17143	Alphabaculovirus	Genus	67:06:00	
23476	Gordtnkvirus	Genus	278:04:00	
30651	Betaentomopoxvirus	Genus	253:08:00	
20829	Gammacoronavirus	Genus	285:08:00	39:00:00
27116	Gammabaculovirus	Genus	374:07:00	
8925	Cytomegalovirus	Genus	286:03:00	
25213	Chlorovirus	Genus	168:09:00	
2689	Whispovirus	Genus	170:08:00	
8942	Cytomegalovirus	Genus	286:01:00	
4109	Muromegalovirus	Genus	138:00:00	
22016	Alphabaculovirus	Genus	108:09:00	
22358	Alphabaculovirus	Genus	144:09:00	
30985	Kayvirus	Genus	110:04:00	
18570	Siminovitchvirus	Genus	128:01:00	
2644	Whispovirus	Genus	154:07:00	
22824	Muromegalovirus	Genus	350:01:00	
30672	Betaentomopoxvirus	Genus	399:09:00	
18491	Siminovitchvirus	Genus	126:01:00	
17167	Alphabaculovirus	Genus	212:07:00	
2630	Whispovirus	Genus	159:05:00	
18602	Siminovitchvirus	Genus	259:03:00	
15624	Iltovirus	Genus	92:05:00	
27106	Gammabaculovirus	Genus	190:09:00	
23248	Slashvirus	Genus	251:03:00	
18473	Siminovitchvirus	Genus	360:04:00	
15461	Mimivirus	Genus	279:04:00	
2780	Whispovirus	Genus	250:03:00	
22153	Betabaculovirus	Genus	173:03:00	
30654	Betaentomopoxvirus	Genus	107:09:00	
23291	Slashvirus	Genus	145:03:00	
25571	Siadenovirus	Genus	180:09:00	
2691	Whispovirus	Genus	171:05:00	
2721	Whispovirus	Genus	161:03:00	
26431	Vhmlvirus	Genus	123:06:00	118:04:00
17157	Alphabaculovirus	Genus	175:08:00	
14775	Mardivirus	Genus	184:01:00	58:05:00
18523	Siminovitchvirus	Genus	104:05:00	
22875	Muromegalovirus	Genus	310:00:00	33:04:00
26514	Alphabaculovirus	Genus	109:07:00	
18621	Siminovitchvirus	Genus	210:02:00	
9008	Cytomegalovirus	Genus	377:08:00	
25087	Chlorovirus	Genus	141:09:00	
18486	Siminovitchvirus	Genus	202:01:00	
9781	Alphabaculovirus	Genus	128:05:00	
30648	Betaentomopoxvirus	Genus	260:07:00	
2111	Whispovirus	Genus	289:00:00	
14817	Mardivirus	Genus	190:01:00	
25361	Chlorovirus	Genus	140:02:00	
21650	Orthopoxvirus	Genus	55:03:00	
18307	Proboscivirus	Genus	227:00:00	
25673	Chlamydiamicrovirus	Genus	122:02:00	
4214	Cyprinivirus	Genus	233:04:00	
8998	Cytomegalovirus	Genus	181:08:00	
20825	Gammacoronavirus	Genus	115:02:00	
27090	Gammabaculovirus	Genus	959:00:00	
22870	Muromegalovirus	Genus	136:04:00	
30690	Fishburnevirus	Genus	529:06:00	
18624	Siminovitchvirus	Genus	302:06:00	
10274	Vhmlvirus	Genus	145:08:00	
8868	Cytomegalovirus	Genus	285:09:00	
18612	Siminovitchvirus	Genus	269:02:00	
30659	Betaentomopoxvirus	Genus	196:05:00	
